MPC Number,Name,Type,Keywords,Interpretation,Declination,Distance AU,Speed,Position,Retrograde,Aspect Direction,Bounds Ruler,Chart Pattern,Chart Type,Classification,Decan,Dignity,Duad,Harmonic Aspects,Hemisphere,House,House Ruler in House,Latitude,Longitude Degrees,Magi Linkages,Midpoints,Mode,Object ID,Planet Parans,Planetary Direction,Planetary Pictures,Quadrant,Ray,Ruler,Sect,Sign,Source,Star Conjunctions,Star Parans,Symbol,Triplicity Ruler
15760,Albion,TNO,"Primordial wholeness, Unity, Division, Four Zoas, Integration, Prototype, First discovery, Foundation, Ancient wisdom, Archetypal man, White cliffs, Unified self, Fragmentation, Reintegration, Original state, Pioneer, Classical Kuiper belt, Cubewano, Beginning","Albion represents primordial wholeness, the original unified state before division. Named after the ancient Greek name for Great Britain and William Blake's primordial man who divided into the four Zoas, this was the first classical Kuiper belt object ever discovered, marking the beginning of our exploration beyond Pluto. Albion shows where we seek to integrate divided aspects of ourselves, reclaim lost wholeness, and honor the archetypal foundation upon which our psyche rests. As the prototype cubewano, Albion embodies the principle of 'firstness' - the pioneer, the original, the foundation. This placement indicates where we must acknowledge fragmentation and work toward reintegration of our essential nature.","-10°45'49""",41.901952183,0.020452,"4 pi 24' 8""",No,,,,,,,,,,,,,,,,,,,,,,,,Saturn,,,,,,,
15810,Arawn,TNO,,,"-7° 4' 0""",34.627717182,-0.0231883,"26 li 41'51""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19521,Chaos,TNO,"Primordial void, Formless state, Infinite potential, Gap, Chasm, Beginning, Creative emptiness, Undefined, Unstructured, Pure possibility, Before order, Uncertainty, The unknown, Dissolution, Primal force, Genesis, Cosmic womb, Original source, Limitless","Chaos represents the primordial void, the formless state that precedes all creation. Named after the first Greek primordial deity who emerged at the dawn of time, this TNO embodies infinite potential, the gap between heaven and earth, and the creative emptiness from which all forms arise. Chaos shows where we encounter the undefined, unstructured realm of pure possibility - the place before order, before manifestation, before differentiation. This placement indicates the capacity to embrace uncertainty, dwell in the unknown, and access the creative void from which new realities emerge. Chaos teaches that destruction and formlessness are necessary precursors to creation, and that true innovation requires releasing attachment to existing structures.","5°11'14""",45.617725211,0.0247858,"25 ar 12'56""",No,,,,,,,,,,,,,,,,,,,,,,,,Neptune,,,,,,,
20000,Varuna,TNO,,,"12°15'24""",42.412210181,0.0201181,"4 ge 41'47""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25143,Itokawa,Asteroid,,,"0°58'41""",2.375694773,0.6967988,"4 ar 48'15""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28978,Ixion,TNO,"Betrayal, Lawlessness, Lust for life, Corruption, Tyranny, Criminal behavior, Consequences, Karma, Reflection, Discernment, Values, Ethics, Passion, Life force, Accountability, Sacred trust, Transgression, First murderer, Bound to wheel","Ixion represents the consequences of betrayal, lawlessness, and the corruption that comes from unchecked desire. Named after the first murderer in Greek mythology who was bound to a fiery wheel in Tartarus, this Plutino embodies lust for life, ambition without ethics, and the karmic repercussions of transgression. Ixion shows where we must develop discernment about our desires and values, recognizing that creative life force can become destructive when misdirected. This placement indicates the capacity for passionate intensity, but warns against tyranny, criminality, and the violation of sacred trust. Ixion teaches that our actions create karmic patterns that eventually reflect back to us, demanding accountability and ethical awareness.","-3°36'24""",46.674852877,-0.0176386,"8 sc 8'29""",Yes,,,,,,,,,,,,,,,,,,,,,,,,Pluto,,,,,,,
31824,Elatus,Centaur,,,"2°35'52""",16.646997539,-0.0469851,"6 li 56'30""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32532,Thereus,Centaur,,,"8°58'39""",12.325068727,0.0909861,"20 ta 27'42""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37117,Narcissus,Asteroid,"Vanity, Self-love, Reflection, Self-absorption, Beauty, Ego, Mirror, Self-obsession, Charisma, Pride, Admiration, Image, Self-focus, Superficiality, Echo","Embodies self-absorption, vanity, and the dangers of excessive self-focus. Narcissus, who fell in love with his own reflection, represents where you may become entranced by your own image or ideas. This asteroid reveals areas of potential narcissism, the need for self-reflection versus self-obsession, and where admiration can become toxic. It can also indicate natural charisma and the ability to captivate others.","-21°55'20""",10.091313751,-0.0333606,"16 sa 39'51""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38083,Rhadamanthus,TNO,,,"24°26'29""",34.148294752,-0.0092554,"19 le 3'25""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38628,Huya,TNO,,,"7°18' 4""",35.961875826,-0.0118011,"25 le 31'27""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42355,Typhon,TNO,,,"15°14'23""",35.230954729,0.0309709,"6 ta 24'19""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47171,Lempo,TNO,,,"-22°16' 4""",36.974386823,0.0130897,"8 aq 7'57""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49036,Pelion,Centaur,,,"4°23' 8""",18.701092643,-0.0403889,"9 li 19'27""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,Quaoar,TNO,"Creation through song, Dancing universe into being, Harmony, Natural order, Universal law, Responsibility, Respect for life, Sacred creation, Tongva deity, Evolutionary path, Big picture, Liberation, Governing, Circular orbit, Spirit of discovery, Scientific inquiry, Abstract models, Clarifying, Revealing, Constructing, Questioning","Quaoar represents the creative force that sings reality into existence through harmony, dance, and sacred sound. Named after the Tongva creator deity who danced and sang the universe into being, this dwarf planet embodies natural order, universal law, and the responsibility to live in harmony with creation. Quaoar shows where we access creative power through alignment with natural cycles, where we must honor the sacred laws of life, and where we can manifest through resonance rather than force. This placement indicates evolutionary development, the capacity to see the big picture of creation, and liberation through understanding cosmic order. Quaoar teaches that true creation is participatory, requiring us to respect all life and work within natural limits.","-9°54'38""",43.373664546,-0.0184086,"5 sc 37' 9""",Yes,,,,,,,,,,,,,,,,,,,,,,,,Uranus,,,,,,,
52872,Okyrhoe,Centaur,,,"-1°54'49""",11.591651486,0.0980338,"24 pi 19'17""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52975,Cyllarus,Centaur,,,"-31°28' 3""",20.947136053,-0.0030486,"2 cp 39'13""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53311,Deucalion,TNO,,,"2°59'31""",44.370121636,-0.0166078,"23 vi 11'36""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54598,Bienor,Centaur,,,"-35°15'53""",15.224992635,-0.0454639,"14 sc 31'11""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55576,Amycus,Centaur,"Proper treatment, Social conduct, Violence consequences, Reactive aggression, Caught in conflict, Innocent victims, Collateral damage, When elephants fight, Centauromachy, Wedding chaos, First to fight, Improper behavior, Respect breakdown, Battle swept, Domino effect, Suffering, Social norms, Conflict escalation","Amycus represents the proper treatment of others and the consequences of violence and improper conduct. As the first centaur to fight after the wedding chaos began, Amycus embodies reactive aggression, being caught up in collective violence, and the suffering of innocent victims in conflicts not of their making. This placement shows where we may become swept into battles, where we fight for perceived wrongs, or where we witness the damage caused when basic respect breaks down. Amycus teaches about appropriate social behavior, the domino effect of violence, and the tragedy of collateral damage. He reminds us that when powerful forces clash, the vulnerable suffer most.","33°17'55""",28.173108202,0.0299165,"7 ge 11'35""",No,,,,,,,,,,,,,,,,,,,,,,,,Mars,,,,,,,
58534,Logos,TNO,,,"19°39' 4""",39.726277348,-0.0002983,"29 cn 47' 7""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60558,Echeclus,Centaur,,,"-12°27'20""",9.510202315,-0.0652642,"13 sc 19'47""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65489,Ceto,TNO,,,"-0°13'58""",27.28864888,0.0395048,"24 ta 6'14""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66652,Borasisi,TNO,,,"-22°11'26""",39.911359678,0.0043748,"19 cp 54'19""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69230,Hermes,Asteroid,"Communication, Messenger, Trickster, Commerce, Travel, Eloquence, Liminal spaces, Negotiation, Speed, Transitions, Cleverness, Mediation, Language, Trade, Psychopomp","Embodies communication, commerce, and swift movement between realms. As the messenger god, Hermes represents eloquence, trickery, trade, and the ability to cross boundaries. This asteroid shows where you communicate with skill, navigate transitions, and act as an intermediary. It reveals your relationship to language, negotiation, travel, and the liminal spaces between worlds. Hermes can also indicate where you employ cleverness or deception.","17° 3' 8""",0.145549264,-0.9990423,"22 ar 16'31""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79360,Sila-Nunam,TNO,,,"24°41'51""",44.273756671,0.0128766,"24 ge 5'39""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83982,Crantor,Centaur,,,"12°15'28""",23.543292167,0.0363721,"6 ge 55'13""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88611,Teharonhiawako,TNO,,,"-22°11'47""",44.418550801,0.0044927,"22 cp 13'53""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90377,Sedna 2003 VB12,SDO,,,"2° 7'20""",101.411541984,0.0107998,"3 ta 4'47""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90482,Orcus,TNO,,,"12°25'47""",44.151342035,0.0017383,"22 cn 34'10""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99942,Apophis,Asteroid,,,"-16° 1'51""",0.302855117,1.6491177,"7 aq 42'43""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120347,Salacia,TNO,,,"-8°58' 9""",40.786790522,0.0104454,"5 aq 21'13""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121725,Aphidas,Centaur,,,"-15° 0'30""",10.28550199,0.1013905,"1 pi 36'29""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134340,Pluto-Charon,Dwarf,,,"13°43'26""",30.006665607,-0.0264568,"5 li 3'22""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136108,Haumea,Dwarf,"Fertility, Rebirth, Transformation, Childbirth, Hawaiian goddess, Regeneration, Creation, Renewal, Cycles of growth, Feminine power, Earth goddess, Rapid change, Self-generation, Metamorphosis, Divine feminine, Life force, Sacred creation, Continuous rebirth","Haumea represents fertility, rebirth, and the transformative cycles of creation. Named after the Hawaiian goddess of childbirth and fertility, this rapidly rotating, elongated dwarf planet embodies the feminine principle of bringing new life into being. Haumea shows where we experience profound renewal, give birth to new aspects of ourselves, and undergo rapid transformation. This placement indicates the capacity for regeneration, the wisdom of the earth goddess, and the power to create from our own essence. Haumea teaches that transformation often requires letting go of old forms to make space for new growth, and that true power lies in the ability to continually recreate ourselves.","25°11'57""",50.319868686,-0.0139746,"11 vi 46' 4""",Yes,,,,,,,,,,,,,,,,,Cardinal,,,,,,,Mars,,Libra,,,,,
136199,Eris,Dwarf,"Discord, Strife, Rebellion, Empowerment, Disruption, Transformation, Conflict, Justice, Outsider archetype, Revolutionary change, Challenging authority, Exposing truth, Systemic change, Feminine rage, Equality, Non-conformity, Catalyst, Game-changer","Eris represents discord, strife, and the disruptive force that challenges the status quo. Named after the Greek goddess of discord, this dwarf planet embodies rebellion, empowerment, and transformation through conflict. Eris highlights where we must confront systemic injustice, fight for the marginalized, and embrace our role as change agents. This placement indicates the capacity to expose hidden truths, create necessary disruption, and catalyze revolutionary change. Eris shows where we refuse to conform to societal expectations and instead champion authentic expression and equality. The energy is fierce, uncompromising, and dedicated to bringing justice to those who have been excluded or oppressed.","-13°18'48""",98.498046724,0.0112449,"13 ar 9'39""",No,,,,,,,,,,,,,,,,,Cardinal,,,,,,,Mars,,Aries,,,,,
136472,Makemake,Dwarf,"Manifestation, Abundance, Prosperity, Environmental consciousness, Creation deity, Resourcefulness, Sustainability, Earth stewardship, Provider, Protector, Harmony with nature, Sacred economics, Sacrifice for goals, Ecological wisdom, Natural law, Divine trickster, Success, Thriving","Makemake embodies the principles of manifestation, abundance, and prosperity through harmony with natural law. Named after the Rapa Nui (Easter Island) creation god, this dwarf planet represents environmental consciousness, resourcefulness, and the wise administration of resources. Makemake shows where we must balance material success with ecological sustainability, learning to create abundance without exploitation. This placement indicates the capacity to manifest goals through aligned intention, protect and provide for communities, and understand the cycles of giving and receiving. Makemake teaches that true prosperity comes from respecting natural limits and honoring the interconnectedness of all life.","39°59'11""",48.51895676,-0.0072902,"16 le 33'45""",Yes,,,,,,,,,,,,,,,,,Cardinal,,,,,,,Saturn,,Virgo,,,,,
148780,Altjira,TNO,,,"8°53'24""",44.536483299,0.0255078,"19 ar 4'33""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174567,Varda,TNO,,,"-2° 9'15""",50.220739068,-0.0167299,"4 sc 47'22""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184314,Mbabamwanawaresa,TNO,,,"9°53'48""",45.654592513,-0.0134146,"9 vi 23'59""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225088,Gonggong,SDO,"Chaos, Intrusive memories, Karmic business, Empathic consciousness, Water element, Flooding, Disruption, Transformation through crisis, Uncertainty, Collective trauma, Environmental concerns, Power struggles, Tilting foundations, Uncomfortable truths, Thriving through chaos, Serpentine energy, Red-haired god archetype","Gonggong represents the energy of thriving through chaos and uncertainty. Named after the Chinese water god known for creating flooding and tilting the Earth, this trans-Neptunian object brings themes of intrusive memories, unfinished karmic business, and empathic consciousness. It indicates where we must learn to navigate disruption and transformation, often through confronting uncomfortable truths from the past. Gonggong's influence suggests the capacity to work with chaotic forces rather than against them, finding opportunity within crisis. This placement shows where we may need to address deep-seated emotional wounds related to power struggles, environmental disruption, or collective trauma.","-24°59'55""",76.087461014,0.007673,"19 aq 2'43""",No,,,,,"Scattered Disc Object (SDO), 3:10 resonance with Neptune",,,,,,,,30°55' N,"19°2'43""",,,Fixed,,,,,,,Saturn,,Aquarius,,,,🝽,
229762,G!kun||'homdima,TNO,,,"-12°31'34""",60.343134377,0.0197429,"18 ar 40'14""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330836,Orius,Centaur,,,"11°51'56""",28.832889486,0.0369906,"9 ta 42'26""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341520,Mors-Somnus,TNO,,,"-7°42'27""",37.387731858,0.013926,"10 aq 7'26""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346889,Rhiphonos,Centaur,,,"12°49'34""",7.003302738,0.2058882,"23 ar 41'17""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385446,Manwe,TNO,,,"-21° 3'47""",47.762797135,0.0086155,"5 aq 21'24""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420356,Praamzius,TNO,,,"23°49'34""",43.341155113,0.0150922,"18 ge 39'30""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469705,Kagara,TNO,,,"21°55'29""",43.451339938,0.0045516,"16 cn 37'26""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471143,Dziewanna,SDO,,,"3°37'34""",55.098827205,-0.0132102,"17 vi 39'14""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472235,Zhulong,SDO,,,"15°53' 5""",47.410656957,-0.0065339,"16 le 33'58""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474640,Alicanto,TNO,,,"-27°56'35""",56.44838781,0.019461,"16 pi 38'28""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486958,Arrokoth,TNO,,,"-15°45'42""",43.938575148,-0.0156468,"21 sc 10'35""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541132,Leleakuhonua,TNO,,,,,0,"14 pi 57'20""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JENNIFER,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vertex,Calculated,,,,,,,No,,,,,,,,,,,7,,"11°12'26"" N","29°14'43""",,,,,,,,,,,,Aries,,,,,
,Lilith (Mean),Calculated,,,"18°3'0"" S",,0.1111,,No,,,,,,,,,,,4,,"2°52'7"" N","26°26'33""",,,,,,,,,,,,Capricorn,,,,,
,Part of Fortune,Calculated,"Financial gain, Ease, Emotional security, Inheritance, Transformation, Shared resources, Nurturing, Deep intimacy, Psychic gifts, Taxes, Rebirth, Hidden talent, Partnership wealth, Healing, Emotional depth, Secrets, Occult","The area of greatest ease, success, and well-being (Part of Fortune) is found through emotional security and nurturing (Cancer) related to shared resources, deep intimacy, and transformation (House 8). Wealth or success may come through partnerships, inheritance, or by working with emotional depth, psychology, or the occult. Emotional nurturing becomes a key to financial and spiritual transformation and accessing others' resources.","20°13'38"" N",,0,,No,,,,,,,,,,,8,,"0°0'0"" N","0°21'8""",,,,,,,,,,,,Cancer,,,,,
,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vertex,Calculated,,,,,,"29 ar 14'43""",No,,,,,,,,,,,7,,"11°12'26"" N","29°14'43""",,,Cardinal,,,,,,,Mars,,Aries,,,,,
,Part of Fortune,Calculated,"Financial gain, Ease, Emotional security, Inheritance, Transformation, Shared resources, Nurturing, Deep intimacy, Psychic gifts, Taxes, Rebirth, Hidden talent, Partnership wealth, Healing, Emotional depth, Secrets, Occult","The area of greatest ease, success, and well-being (Part of Fortune) is found through emotional security and nurturing (Cancer) related to shared resources, deep intimacy, and transformation (House 8). Wealth or success may come through partnerships, inheritance, or by working with emotional depth, psychology, or the occult. Emotional nurturing becomes a key to financial and spiritual transformation and accessing others' resources.","20°13'38"" N",,,"0 cn 21'8""",No,,,,,,,,,,,8,,,"0°21'8""",,,Cardinal,,,,,,,Moon,,Cancer,,,,,
,Ascendant,Calculated,"Courage, Initiation, Dynamic, Impulsive, Direct, Self-starter, Warrior, Energy, Headstrong, Independent, Pioneer, Assertive, Active, Pioneering, Outward behavior, Physical vitality","The outward personality and approach to life is marked by courage, impulse, and direct action. The native is seen as a self-starter, dynamic, and energetic, often charging headfirst into new experiences. There is a visible desire for independence and a competitive edge, with an ability to cut through complexity. They project an image of a warrior or pioneer.",,,,"10 ar 48'41""",No,,,,,,,,,,,1,,,"10°48'41""",,,Cardinal,,,,,,,Mars,,Aries,,,,,
,Midheaven,Calculated,"Ambition, Career, Public status, Authority, Structure, Discipline, Responsibility, Patience, Goals, Pragmatism, Tradition, Material success, Reputation, Management, Long-term planning, Social standing","The career, public reputation, and ultimate life goals are handled with seriousness, ambition, and a pragmatic approach. The native is seen as highly professional, disciplined, and focused on achieving tangible, material success. They seek recognition for their hard work and ability to build long-lasting structures. They climb the ladder slowly but surely, prioritizing respect and competence.",,,,"12 cp 27'31""",No,,,,,,,,,,,10,,,"12°27'31""",,,Cardinal,,,,,,,Saturn,,Capricorn,,,,,
,True Node,Calculated,"Destiny, Growth, Relationship karma, Self-assertion, Partnership, Initiation, Courage, Independence, Balancing, Collaboration, New paths, Evolutionary goal, Directness, Self-discovery, Fated encounters, Marital path, Self-reliance","The dharma or path of growth (North Node) is to move away from excessive self-reliance (South Node in Libra) and learn to courageously assert oneself (Aries) within the context of one-on-one relationships (House 7). The native's evolution is found by initiating partnerships and taking independent action with or through others, learning to balance their own needs with the needs of the relationship. Life lessons involve fated partnerships.","23°8'39"" S",,-0.0248,"24 ar 32'4""",No,,,,,,,,,,,7,,"1°32'42"" N","24°32'04""",,,Cardinal,,,,,,,Mars,,Aries,,,,,
,Pluto,Dwarf,"Obsession, Psychological healing, Hidden enemies, Transformation, Subconscious, Purging, Karma, Detailed work, Health crises, Compulsive service, Inner scrutiny, Purification, Investigative, Power struggles, Self-sabotage, Deep secrets","The intensity, compulsion, and psychological transformation (Pluto) are focused on unseen weaknesses, selfless service, and subconscious patterns (House 12). The native possesses a deep, investigative need to cleanse or perfect (Virgo) subconscious fears, trauma, and hidden matters. The retrograde motion suggests this is an ongoing, internalized, and karmic process. There is a potential for working behind the scenes in health or service, or a relentless obsession with self-improvement and detail.","13°43'31"" N",,-0.0058,"5 vi 3'6""",Yes,,Venus,,,,,Peregrine,,,Northern (Above Horizon) / Eastern,12,,"17°9'48"" N","5°03'06""",,,Mutable,,,,,,,Mercury,Day,Virgo,,,,J,Mercury (Day Ruler)
,Zeus,Uranian,,,"6°36' 3""",58.46577744,-0.0113663,"13 vi 12'35""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cupido,Uranian,,,"-9°36' 1""",40.019195062,-0.0204311,"27 li 33' 1""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kronos,Uranian,,,"21°51'16""",65.626981698,0.0115239,"9 ge 16'56""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Isis-Transpluto,Hypothetical,,,"16°19' 4""",89.217772949,-0.0037469,"15 le 4'39""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vulkanus,Uranian,,,"23°20' 1""",77.507843834,0.0044638,"5 cn 35'46""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Poseidon,Uranian,,,"-8°23'32""",82.667200953,-0.0105337,"21 li 30'41""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apollon,Uranian,,,"-1°41' 4""",69.337210041,-0.0119598,"4 li 14' 0""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Admetos,Uranian,,,"13° 1'47""",74.599593055,0.0143007,"4 ta 30'15""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hades,Uranian,,,"17°20'33""",51.544714971,0.0187832,"22 ta 0'58""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uranus,Classical,"Unconventional, Shocking, Revolutionary, Personal freedom, Appearance, Individuality, Radical, Detached, Change, Rebellion, Progressive, Restless, Innovative, Sudden shifts, Authentic self, Eccentric, Reform","Unconventionality and rebellion (Uranus) are expressed directly through the personality and physical appearance (House 1). The native has a unique, detached, and reform-minded approach to relationships (Libra is ruled by Venus, and Uranus is about breaking structures). The retrograde motion internalizes this revolutionary impulse, making the native restless and seeking personal freedom. They strive to be seen as an individual and challenge the status quo, especially in partnership models.","9°27'58"" S",17.435070053,-0.0422,"25 li 58'50""",Yes,,Saturn,,,,,Peregrine,,,Southern (Below Horizon) / Eastern,1,,"0°36'33"" N","25°58'25""",,,Cardinal,,,,,,,Venus,Day,Libra,,,,,Mercury (Day Ruler)
,osc. Apogee,Calculated,,,"-15°27'49""",0.002709949,-3.0196705,"5 aq 24'23""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,true Node,Calculated,,,"-23° 8'40""",0.002663117,-0.0304745,"21 sa 6'47""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean Apogee,Calculated,,,"-18° 3'20""",0.002710625,0.1111624,"26 cp 25'26""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Neptune,Classical,"Idealism, Confusion, Spiritual, Visionary, Inspired speech, Disillusionment, Psychic, Local travel, Environment, Siblings, Non-verbal, Escapism, Dreams, Intuition, Obfuscation, Faith, Subtle communication","This placement suggests idealism, confusion, or spiritualization (Neptune) concerning communication, local environment, and foundational learning (House 3). The native may struggle with clarity in thought and speech, or they may be a profoundly inspired communicator (e.g., poet, visionary). The retrograde motion enhances the inner search for spiritual truth. Sibling relationships or early schooling may be confusing or idealized. There is an intuitive, compassionate grasp of universal concepts.","22°59'48"" S",29.638834006,-0.0053,"9 sa 22'54""",Yes,,Venus,,,,,Peregrine,,,Southern (Below Horizon) / Western,3,,"0°50'53"" N","9°22'45""",,,Mutable,,,,,,,Jupiter,Night,Sagittarius,,,,I,Sun (Day Ruler)
,mean Node,Calculated,,,"-23°14'16""",0.002569555,-0.0529434,"22 sa 38'25""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galactic Center,Fixed,,,"-28°59'52""",,0,"26 sa 29'57""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moon,Classical,"Freedom, Travel (short), Learning, Optimism, Philosophy, Bluntness, Communication, Siblings, Curiosity, Expansion, Faith, Emotional need, Teaching, Mental restlessness, Truth-seeking, Emotional honesty, Storytelling","The emotional security is tied to a thirst for knowledge, philosophical exploration, and the feeling of freedom and forward movement. Emotions are expressed with enthusiasm, optimism, and sometimes bluntness. The native finds comfort in learning, short-distance travel, and communicating with siblings/neighbors. They need mental stimulation and a big-picture view to feel emotionally stable. There is a constant search for emotional truth and meaning, often expressed through storytelling and teaching.","22°56'24"" S",0.002634895,12.41,"8 sa 9'34""",No,,,,,,,Peregrine,,,Southern (Below Horizon) / Western,3,,"0°57'51"" S","10°13'49""",,,Mutable,,,,,,,Jupiter,Night,Sagittarius,,,,B,Sun (Day Ruler)
,Great Attractor,Fixed,,,"-60°49'27""",,0,"13 sa 36'20""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saturn,Classical,"Restriction, Emotional security, Tradition, Conservatism, Higher education, Self-doubt, Foreign cultures, Philosophy, Retrograde, Inner mastery, Structure, Duty, Travel, Serious study, Moral compass, Long journey","This placement describes lessons and restrictions related to emotional security (Cancer) when applied to belief systems, travel, or higher education (House 9). The native may feel insecure about their knowledge or philosophy, leading to a need for a rigid, traditional, or conservative approach. The retrograde motion suggests internalizing these fears. Learning to trust their own emotional foundation and creating a secure, personal philosophy is key. Long-distance travel may be delayed or taken very seriously.","22°41'31"" N",9.329367249,-0.0725,"29 ge 21'53""",Yes,,Mars,,,,,Peregrine,,,Northern (Above Horizon) / Western,9,,"0°44'57"" S","29°22'37""",,,Mutable,,,,,,,Mercury,Day,Cancer,,,,,Mercury (Day Ruler)
,Mercury,Classical,"Intuition, Creative, Receptive, Compassionate, Imagination, Service, Health, Artistic expression, Daily routine, Fuzzy logic, Empathetic listening, Fantasy, Psychic sensitivity, Martyrdom, Non-linear thinking, Selfless work, Visionary","The mind is highly intuitive, imaginative, and receptive, often absorbing the mental atmosphere of the environment. Communication can be vague, impressionistic, or artistic, preferring non-verbal cues or creative writing over precise logic. In the house of daily work and service, this placement suggests a need for a compassionate, creative, or healing-focused profession. The native may struggle with organization or logical thinking but excels at intuitive and empathetic problem-solving.","2°44'3"" S",1.152710766,1.5823,"28 pi 39'24""",No,,Mars,,,,,Detriment / Fall,,,Southern (Below Horizon) / Eastern,6,,"2°30'43"" S","28°55'11""",,,Mutable,,,,,,,Jupiter,Day,Pisces,,,,C,Mars (Night Ruler)
,Virgo Cluster,Fixed,,,"12°51'44""",,0,"0 li 34'58""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sun,Classical,"Partnership, Self-assertion, Marriage, Relationships, Open enemies, Energy, Passion, Competitive, Diplomacy, Collaboration, Initiation, Projection, Legal matters, One-on-one, Co-dependency, Vital force, Independence","The native's identity and ego are passionately expressed through relationships and partnerships (House 7). The need to be a leader or initiator is often projected onto others or is found in a partner. There is a fiery, energetic approach to commitment and a tendency to attract powerful, sometimes competitive, partners. They thrive on one-on-one interaction and may use relationships as a mirror to understand themselves. The core life purpose is found in learning the art of collaboration while maintaining the Aries drive for self-assertion.","8°4'47"" N",1.002010103,0.9811,"20 ar 31'33""",No,,Mars,,,,,Exaltation,,,Northern (Above Horizon) / Western,7,,"0°0'0"" S","20°41'22""",,,Cardinal,,,,,,,Mars,Day,Aries,,,,A,Sun (Day Ruler)
