Name,Number,Category,Keywords,Description
Huya,38628,TNO,Shamanistic rain spiritual transformation,Represents shamanic practices rain magic and spiritual transformation.
Rhadamanthus,38083,TNO,Justice judgment afterlife ethics,Represents divine justice judgment of souls and ethical standards.
Deucalion,53311,TNO,Survival renewal after catastrophe,Represents survival after catastrophe renewal and rebuilding after destruction.
Lempo,47171,TNO,Evil mischief trickery deception,Represents evil mischief trickery and deceptive behaviors.
Dziewanna,471143,TNO,Wild nature virgin goddess independence,Slavic goddess. Represents wild untamed nature virgin independence and feminine power.
Varda,174567,TNO,Exaltation sublime love devotion,Represents exalted sublime love deep devotion and ethereal beauty.
Mnemosyne,57,Asteroid,Memory remembrance mother of muses,Goddess of memory. Represents remembrance collective memory and mother of creative inspiration.
Melete,56,Asteroid,Thought meditation practice contemplation,One of Boeotian Muses. Represents deep thought meditation contemplation and practice of skills.
Musa,600,Asteroid,Muse inspiration creative gifts,Represents being a muse to others and receiving inspiration. Shows natural grace beauty and artistic talents.
Poesia,946,Asteroid,Poetry poetic expression verse,Spanish for poetry. Represents poetic expression verse writing and lyrical gifts.
Cantor,16246,Asteroid,Singing voice vocal expression,Represents singing abilities vocal talent and musical voice.
Singer,10698,Asteroid,Vocal talent singing style performance,Represents singing talent vocal style and performance abilities.
Piani,10573,Asteroid,Piano musical instrument mastery,Represents piano playing musical instrument talent and keyboard mastery.
Cook,3061,Asteroid,Culinary arts cooking nourishment,Represents cooking abilities culinary arts and nourishment through food.
Pintar,33103,Asteroid,Painting visual arts color,Spanish for painting. Represents painting abilities visual arts and working with color.
Biblialexa,51895,Asteroid,Reading writing books literature,Represents love of reading writing books and literary pursuits.
Photographica,443,Asteroid,Photography visual capture imaging,Represents photography visual arts image capture and photographic talent.
Orpheus,3361,Asteroid,Music poetry devotion underworld journey,Legendary musician. Represents musical genius poetic gifts devotion and journey to underworld for love.
Anahita,270,Asteroid,Creative healing therapeutic arts,Persian goddess. Represents creative and therapeutic talents healing through art.
Makhaon,3063,Asteroid,Healing medicine surgery health,Represents healing abilities medical talent surgical skill and health practices.
Arrokoth,486958,TNO,Astrology astronomy cosmic connection,Represents talent for astrology astronomy and connection to cosmos. Interest in sky and celestial bodies.
Godiva,3018,Asteroid,Naked truth vulnerability courage display,Represents naked truth vulnerability courageous self-display and breaking taboos.
Charis,627,Asteroid,Grace charm charisma beauty,One of the Graces. Represents grace charm natural charisma and graceful beauty.
Aglaja,47,Asteroid,Splendor brilliance radiant beauty adornment,One of three Graces. Represents splendor brilliant beauty radiant charm and adornment.
Euphrosyne,31,Asteroid,Joy mirth cheerfulness delight,One of three Graces. Represents joy mirth cheerfulness and delightful nature.
Aegle,96,Asteroid,Radiance light health vitality,Represents radiance light healthy glow and vital energy.
Kleio,84,Asteroid,History fame celebration recording,Alternative spelling of Clio. Muse of history fame and recording events for posterity.
Kalliope,22,Asteroid,Epic poetry eloquence chief muse,Alternative spelling of Calliope. Chief muse of epic poetry eloquence and heroic expression.
Polymnia,33,Asteroid,Sacred hymns eloquence pantomime,Alternative spelling of Polyhymnia. Represents sacred music hymns eloquence and pantomime.
Melusina,373,Asteroid,Water spirit transformation dual nature,Represents water spirit transformation dual nature and shapeshifting.
Parthenope,11,Asteroid,Siren voice enchantment fatal attraction,Siren who used voice to enchant. Represents enchanting voice seductive sound and fatal attractions.
Luscinia,713,Asteroid,Nightingale beautiful voice song,Represents nightingale-like beautiful singing voice and melodious expression.
Photographica,443,Asteroid,Photography imaging visual capture,Represents photographic talent visual imaging and capturing moments.
Daedalus,1864,Asteroid,Invention craftsmanship genius engineering,Master craftsman. Represents inventive genius masterful craftsmanship and ingenious engineering.
Icarus,1566,Asteroid,Ambition overreach flying too high,Represents ambitious overreach flying too high and consequences of hubris.
Transpluto,N/A,Hypothetical Planet,Perfectionism release control transformation,Hypothetical trans-Neptunian. Represents perfectionism need to release control and transformative letting go.
Vulcan,4464,Hypothetical,Hidden power forge transformation,Represents hidden power forging in fire and volcanic transformation.
Part of Spirit,N/A,Arabic Part,Purpose calling soul mission action,Complement to Part of Fortune. Represents spiritual purpose soul calling and directed action.
Part of Eros,N/A,Arabic Part,Sexual desire erotic attraction passion,Represents sexual desire erotic attraction and passionate connections.
Part of Necessity,N/A,Arabic Part,Constraint struggle submission restriction,Represents constraints struggles submissions and restrictive circumstances.
Part of Basis,N/A,Arabic Part,Foundation rank inheritance legacy,Represents foundation rank inheritance and ancestral legacy.
Part of Exaltation,N/A,Arabic Part,Rank honor achievement recognition,Represents achievement honor rank and recognition of excellence.
Part of Death,N/A,Arabic Part,Endings transformation afterlife beliefs,Represents attitude to death transformation endings and afterlife beliefs.
Part of Increase,N/A,Arabic Part,Growth expansion acquisition gain,Represents increase growth expansion and material gain.
Part of Commerce,N/A,Arabic Part,Business trade profit communication,Represents business dealings trade profit through communication.
Part of Siblings,N/A,Arabic Part,Siblings communication relationship bonds,Represents sibling relationships communication bonds and sibling-like connections.
Part of Friends,N/A,Arabic Part,Friendship allies social connections,Represents friendships where you gain allies and beneficial social connections.
Part of Treachery,N/A,Arabic Part,Betrayal deception enemies,Represents potential betrayal deception and hidden enemies.
Part of Captivity,N/A,Arabic Part,Restriction bondage attachment,Represents restriction bondage and psychological attachment.
Part of Father,N/A,Arabic Part,Father paternal authority legacy,Represents father relationship paternal influence and authority.
Part of Mother,N/A,Arabic Part,Mother maternal nurturing roots,Represents mother relationship maternal influence and nurturing.
Part of Children,N/A,Arabic Part,Children creativity offspring legacy,Represents children creative offspring and generational legacy.
Part of Astrology,N/A,Arabic Part,Astrological talent cosmic connection,Represents talent for astrology and connection to celestial wisdom.
Sun/Moon Midpoint,N/A,Midpoint,Inner cohesion identity-emotion balance unity,Represents balance between conscious identity and emotional nature. Shows inner unity and integration of will with feelings. Key indicator of personality cohesion and self-expression.
Sun/Ascendant Midpoint,N/A,Midpoint,Personal style self-expression identity projection,Represents how identity manifests outwardly. Shows personal style and conscious self-presentation to world.
Sun/Midheaven Midpoint,N/A,Midpoint,Conscious direction vocation life purpose,Represents alignment between identity and life path. Shows conscious vocational direction and public purpose.
Sun/Mercury Midpoint,N/A,Midpoint,Mental identity communication self-awareness,Represents fusion of identity with thought processes. Shows how awareness translates into communication and mental expression.
Sun/Venus Midpoint,N/A,Midpoint,Creative identity aesthetic values beauty,Represents harmony between identity and values. Shows creative self-expression and aesthetic awareness.
Sun/Mars Midpoint,N/A,Midpoint,Willpower action initiative drive,Represents alignment of will with action. Shows how identity expresses through directed energy and initiative.
Sun/Jupiter Midpoint,N/A,Midpoint,Expansion optimism growth confidence,Represents expansion of identity and optimistic self-expression. Shows growth orientation and confidence.
Sun/Saturn Midpoint,N/A,Midpoint,Discipline structure maturity responsibility,Represents structured identity and mature self-expression. Shows disciplined approach to life purpose.
Sun/Uranus Midpoint,N/A,Midpoint,Originality independence innovation awakening,Represents unique identity and independent spirit. Shows innovative self-expression and breakthrough potential.
Sun/Neptune Midpoint,N/A,Midpoint,Idealism inspiration spirituality transcendence,Represents spiritual identity and idealistic nature. Shows transcendent self-expression and inspiration.
Sun/Pluto Midpoint,N/A,Midpoint,Transformation power intensity regeneration,Represents powerful identity and transformative will. Shows depth of purpose and regenerative capacity.
Moon/Ascendant Midpoint,N/A,Midpoint,Emotional climate reactivity sensitivity persona,Represents emotional presentation and instinctive reactivity. Shows how feelings manifest in personality expression.
Moon/Midheaven Midpoint,N/A,Midpoint,Public emotion career feelings reputation,Represents emotional needs in public life. Shows how feelings influence career and reputation.
Moon/Mercury Midpoint,N/A,Midpoint,Emotional thought intuition communication,Represents connection between emotion and mind. Shows intuitive communication and emotional intelligence.
Moon/Venus Midpoint,N/A,Midpoint,Emotional harmony affection nurturing love,Represents harmony between feelings and values. Shows capacity for affection and emotional receptivity.
Moon/Mars Midpoint,N/A,Midpoint,Emotional drive instinct action feelings,Represents emotional reactivity and instinctive action. Shows how feelings translate into behavior.
Moon/Jupiter Midpoint,N/A,Midpoint,Emotional expansion optimism generosity faith,Represents expansive emotions and generous feelings. Shows faith and emotional abundance.
Moon/Saturn Midpoint,N/A,Midpoint,Emotional control maturity boundaries security,Represents emotional boundaries and mature feelings. Shows need for security and emotional structure.
Moon/Uranus Midpoint,N/A,Midpoint,Emotional freedom change intuition independence,Represents emotional independence and intuitive breakthroughs. Shows need for emotional freedom.
Moon/Neptune Midpoint,N/A,Midpoint,Emotional sensitivity psychic dreams empathy,Represents psychic sensitivity and emotional idealism. Shows empathic nature and dream life.
Moon/Pluto Midpoint,N/A,Midpoint,Emotional intensity transformation depth power,Represents deep emotions and transformative feelings. Shows emotional power and psychological depth.
Mercury/Venus Midpoint,N/A,Midpoint,Grace expression aesthetics communication charm,Represents graceful communication and aesthetic sense. Shows harmonious expression and diplomatic speech.
Mercury/Mars Midpoint,N/A,Midpoint,Sharp mind decisive speech mental energy,Represents mental sharpness and decisive communication. Shows quick thinking and direct speech.
Mercury/Jupiter Midpoint,N/A,Midpoint,Broad thinking optimistic mind philosophy,Represents expansive thinking and philosophical mind. Shows optimism in communication and learning.
Mercury/Saturn Midpoint,N/A,Midpoint,Structure discipline thought concentration,Represents disciplined thinking and structured communication. Shows mental focus and serious thought.
Mercury/Uranus Midpoint,N/A,Midpoint,Technical intuition quick ideas genius innovation,Represents brilliant thinking and innovative ideas. Shows technical intuition and mental breakthroughs.
Mercury/Neptune Midpoint,N/A,Midpoint,Imagination inspiration poetic thought intuition,Represents imaginative thinking and inspired communication. Shows poetic mind and psychic perception.
Mercury/Pluto Midpoint,N/A,Midpoint,Deep thinking penetrating mind research intensity,Represents penetrating mind and deep research ability. Shows psychological insight and transformative ideas.
Venus/Mars Midpoint,N/A,Midpoint,Emotional dynamism creative passion attraction,Represents passionate creativity and romantic attraction. Shows dynamic expression of love and desire.
Venus/Jupiter Midpoint,N/A,Midpoint,Abundance beauty generosity love expansion,Represents generous love and abundant beauty. Shows expansive affection and artistic appreciation.
Venus/Saturn Midpoint,N/A,Midpoint,Selectivity loyalty commitment endurance,Represents loyal love and committed values. Shows selective affection and enduring relationships.
Venus/Uranus Midpoint,N/A,Midpoint,Unconventional love freedom attraction uniqueness,Represents unique attractions and unconventional values. Shows need for freedom in relationships.
Venus/Neptune Midpoint,N/A,Midpoint,Inspiration idealization romantic dreams transcendence,Represents idealized love and romantic inspiration. Shows spiritual affection and artistic sensitivity.
Venus/Pluto Midpoint,N/A,Midpoint,Intense love transformation deep attraction power,Represents transformative love and intense attractions. Shows deep values and powerful desires.
Mars/Jupiter Midpoint,N/A,Midpoint,Confidence initiative enthusiasm enterprise,Represents confident action and enthusiastic initiative. Shows enterprise and adventurous drive.
Mars/Saturn Midpoint,N/A,Midpoint,Controlled effort endurance discipline persistence,Represents controlled energy and persistent effort. Shows disciplined action and endurance.
Mars/Uranus Midpoint,N/A,Midpoint,Sudden action rebellion breakthrough independence,Represents sudden breakthroughs and rebellious action. Shows independent drive and innovative energy.
Mars/Neptune Midpoint,N/A,Midpoint,Inspired action spiritual drive confusion idealism,Represents inspired action and spiritual motivation. Shows idealistic drive or confused energy.
Mars/Pluto Midpoint,N/A,Midpoint,Intensity strategy power transformation force,Represents intense drive and strategic power. Shows transformative action and concentrated force.
Jupiter/Saturn Midpoint,N/A,Midpoint,Balanced growth structured expansion wisdom maturity,Represents balanced expansion and mature growth. Shows wisdom through structure and discipline.
Jupiter/Uranus Midpoint,N/A,Midpoint,Breakthrough opportunity sudden expansion innovation,Represents sudden opportunities and breakthrough expansion. Shows innovative growth and liberation.
Jupiter/Neptune Midpoint,N/A,Midpoint,Spiritual expansion idealism faith transcendence,Represents spiritual growth and idealistic faith. Shows transcendent beliefs and inspired expansion.
Jupiter/Pluto Midpoint,N/A,Midpoint,Power ambition transformation massive growth,Represents powerful ambition and transformative growth. Shows massive expansion and regenerative success.
Saturn/Uranus Midpoint,N/A,Midpoint,Structured change breakthrough discipline innovation,Represents innovative structure and disciplined change. Shows breakthrough within limitations.
Saturn/Neptune Midpoint,N/A,Midpoint,Spiritual discipline transcendent structure sacrifice,Represents spiritual discipline and transcendent boundaries. Shows sacrifice and mystical structure.
Saturn/Pluto Midpoint,N/A,Midpoint,Deep transformation endurance profound change power,Represents profound transformation and enduring change. Shows deep restructuring and persistent power.
Uranus/Neptune Midpoint,N/A,Midpoint,Spiritual awakening transcendent innovation vision,Represents spiritual innovation and transcendent awakening. Shows visionary consciousness and mystical breakthroughs.
Uranus/Pluto Midpoint,N/A,Midpoint,Revolutionary transformation radical change upheaval,Represents revolutionary transformation and radical upheaval. Shows generational change and breakthrough power.
Neptune/Pluto Midpoint,N/A,Midpoint,Collective transformation spiritual regeneration evolution,Represents collective spiritual transformation and generational evolution. Shows deep psychic regeneration.
Ascendant/Midheaven Midpoint,N/A,Midpoint,Life direction integration persona-purpose unity,Represents integration of personal identity with life purpose. Shows unity between self and vocation.
Ascendant/Descendant Midpoint,N/A,Midpoint,Relationship axis balance self-other integration,Represents balance between self and others. Shows integration of identity with partnership needs.
Ascendant/IC Midpoint,N/A,Midpoint,Foundation identity roots personal security,Represents connection between identity and roots. Shows foundation of self and family integration.
Venus/Sun/Moon Picture,N/A,Midpoint Picture,Love relationships beauty values partnerships,When Venus aspects Sun/Moon midpoint represents love dominating relationships. Shows values central to identity and emotional life. Venus ruling 7th intensifies marriage focus.
Node/Sun/Moon Picture,N/A,Midpoint Picture,Public relationships destiny social connections,When Node aspects Sun/Moon midpoint represents public dimension of relationships. Shows destiny through partnerships and social connections.
Neptune/Sun/Moon Picture,N/A,Midpoint Picture,Idealized relationships illusion confusion spirituality,When Neptune aspects Sun/Moon midpoint represents idealization or confusion in relationships. Shows spiritual or deceptive partnerships.
Saturn/Sun/Moon Picture,N/A,Midpoint Picture,Serious relationships duty restriction maturity,When Saturn aspects Sun/Moon midpoint represents serious or restricted relationships. Shows duty responsibility and maturity in partnerships.
Saturn-Neptune/Sun/Moon Picture,N/A,Midpoint Picture,Sacrificial relationships spiritual duty dissolving,When Saturn/Neptune midpoint aspects Sun/Moon represents spiritual sacrifice in relationships. Shows dissolution of boundaries through duty or suffering.
Ascendant/Sun/Moon Picture,N/A,Midpoint Picture,Seeking limelight public relationships persona,When Ascendant aspects Sun/Moon midpoint represents strong drive for recognition. Shows open demanding relationship with world and need for attention.
Pluto/Sun/Moon Picture,N/A,Midpoint Picture,Power relationships transformation intensity control,When Pluto aspects Sun/Moon midpoint represents powerful transformative relationships. Shows control issues and deep psychological bonds.
Pluto/Venus/Uranus Picture,N/A,Midpoint Picture,Exhibitionism notoriety unusual attractions power,When Pluto aspects Venus/Uranus midpoint represents exhibitionism and notoriety. Shows unusual powerful attractions and shocking expressions.
Pluto/Mars/MC Picture,N/A,Midpoint Picture,Publicity power career intensity fame,When Pluto aspects Mars/MC midpoint represents intense public drive. Shows publicity power and career intensity.
Pluto/Mercury/Neptune Picture,N/A,Midpoint Picture,Instincts supporting power intuitive manipulation,When Pluto aspects Mercury/Neptune midpoint represents instinctual power drive. Shows intuitive manipulation and psychic persuasion.
Uranus/Mercury/MC Picture,N/A,Midpoint Picture,Making sensation great confidence breakthrough fame,When Uranus aspects Mercury/MC midpoint represents making sensation. Shows breakthrough communication and sudden fame.
Pluto/Mercury/MC Picture,N/A,Midpoint Picture,Power persuasion influential communication control,When Pluto aspects Mercury/MC midpoint represents power of persuasion. Shows influential communication and career control.
Jupiter/Mercury/Venus Picture,N/A,Midpoint Picture,Artistic achievement creative expansion success,When Jupiter aspects Mercury/Venus midpoint represents artistic achievement. Shows creative success and expansive expression.
Neptune/Moon/Mercury Picture,N/A,Midpoint Picture,Active imagination psychic ability dreams,When Neptune aspects Moon/Mercury midpoint represents active imagination. Shows psychic abilities and dreamy communication.
Ascendant/Neptune/MC Picture,N/A,Midpoint Picture,Living different realm otherworldly presence illusion,When Ascendant aspects Neptune/MC midpoint represents otherworldly presence. Shows living in different realm and idealized reputation.
Aries Point/Moon Picture,N/A,Midpoint Picture,Public prominence fame recognition worldwide,When Moon at 29 degrees aspects Aries Point represents public prominence. Shows worldwide recognition and fame.
Neptune/Mercury/Saturn Picture,N/A,Midpoint Picture,Unipolar depression melancholy structured confusion,When Neptune aspects Mercury/Saturn midpoint suggests depression signature. Shows melancholic thinking and mental fog with structure.
Saturn/Neptune/Pluto Picture,N/A,Midpoint Picture,Bipolar depression deep suffering transformation,When Saturn aspects Neptune/Pluto midpoint suggests bipolar signature. Shows deep suffering and transformative dissolution.
Pluto/Saturn/Ascendant Picture,N/A,Midpoint Picture,Depression transformation heavy burden identity,When Pluto aspects Saturn/Ascendant midpoint suggests depression tendency. Shows heavy transformative burden on identity.
Ascendant/Saturn/Pluto Picture,N/A,Midpoint Picture,Depression control transformation restriction,When Ascendant aspects Saturn/Pluto midpoint suggests depression pattern. Shows controlled transformation and restrictive power.
Jupiter/Pluto Midpoint,N/A,Midpoint Picture,Wealth power massive success abundance transformation,Jupiter/Pluto midpoint represents wealth signature. Shows massive success power and transformative abundance. Major indicator of financial fortune.
Mercury/Jupiter Midpoint,N/A,Midpoint Picture,Writing ability publishing teaching communication success,Mercury/Jupiter midpoint represents writing abilities. Shows success in communication teaching and publishing.
Neptune/Pluto/MC Picture,N/A,Midpoint Picture,Otherworldliness spiritual career transcendent reputation,When Neptune aspects Pluto/MC midpoint represents otherworldly career. Shows transcendent reputation and mystical public image.
Sun/Neptune Midpoint,N/A,Midpoint Picture,Idealism creative vision dissolution identity spirituality,Sun/Neptune midpoint represents idealism and creative vision. Shows spiritual identity or dissolution of ego.
Venus/Mars Midpoint,N/A,Midpoint Picture,Passion romance creative energy sexual attraction,Venus/Mars midpoint represents passion and romance. Shows creative sexual energy and romantic attraction.
Venus/MC Midpoint,N/A,Midpoint Picture,Public beauty career values artistic reputation,Venus/MC midpoint represents beauty in career. Shows artistic reputation and values in public life.
Aries Point Connections,N/A,Sensitive Point,Fame worldwide recognition public prominence global,0 degrees Aries cardinal points. Represents fame worldwide recognition and stepping onto global stage. Planets at 0 Cardinal signs.
90-Degree Midpoint Dial,N/A,Calculation Method,Fourth harmonic analysis midpoint sorting systematic,Systematic way to organize midpoints. Cardinal 0-29.59 Fixed 30-59.59 Mutable 60-89.59. Shows all fourth harmonic relationships at glance.
INTERPRETATION_GUIDE_PART_1,N/A,Method,Step-by-step asteroid interpretation natal chart,STEP 1 IDENTIFY PRIMARY ASTEROIDS: Start with the four major asteroids Ceres(1) Pallas(2) Juno(3) Vesta(4). Add Chiron(2060) as essential. These form foundation of asteroid work. STEP 2 FIND CONJUNCTIONS: Look for asteroids conjunct natal planets angles(ASC/DSC/MC/IC) or Nodes. Use tight orbs 0-3 degrees maximum. Conjunctions are most important and powerful connections. STEP 3 CHECK RULERSHIP: Identify sign and house ruler of asteroid. Check if ruler aspects the asteroid. Example Ceres in Libra check Venus aspects to Ceres. Ruler connection strengthens asteroid importance even without conjunction.
INTERPRETATION_GUIDE_PART_2,N/A,Method,Synthesizing asteroid meanings sign house aspects,STEP 4 SYNTHESIZE LAYERS: Combine asteroid archetype with sign expression house area ruler influence and aspects. Example Eros in Scorpio 8th house ruled by Pluto conjunct Venus equals intense transformative erotic love in intimate sphere with Venusian charm. STEP 5 ASSESS STRENGTH: Asteroid gains strength from tight conjunctions angular placement ruler aspects multiple contacts exact degrees. Weak placement requires all factors combined to matter. STEP 6 LIMIT SELECTION: Don't use every asteroid. Choose 5-10 most prominent based on steps above. Quality over quantity. Asteroids refine interpretation not replace planets.
INTERPRETATION_GUIDE_PART_3,N/A,Method,Advanced asteroid techniques transits progressions,STEP 7 TRANSITS TO ASTEROIDS: Outer planets transiting natal asteroids activate themes. Saturn transit to Juno tests commitment. Pluto transit to Psyche transforms soul connections. Use 1-degree orbs for transits. STEP 8 PROGRESSED ASTEROIDS: Secondary progressions of asteroids show evolving themes. Progressed Vesta changing signs shifts devotional focus. Progressed aspects to natal planets trigger development. STEP 9 INTEGRATE WITH CHART: Asteroids never override major chart patterns. They add nuance detail specificity. Use to fine-tune understanding like tuning instrument not rebuilding it.
SYNASTRY_GUIDE_PART_1,N/A,Method,Synastry interpretation orbs double whammies method,SYNASTRY STEP 1 ORB GUIDELINES: Conjunctions 0-3 degrees strongest 4-5 degrees moderate 6+ degrees weak. Oppositions squares trines 0-5 degrees ideal 6-8 degrees acceptable. Sextiles 0-4 degrees. Minor aspects 0-2 degrees maximum. Sun Moon get extra 1-2 degree allowance. Tighter orbs dominate relationship more than wide orbs. SYNASTRY STEP 2 IDENTIFY TIGHTEST ASPECTS: Start with 0-1 degree aspects these are most felt and constant. Then 1-3 degrees very strong. Then 3-5 degrees noticeable. Ignore aspects wider than guidelines above to avoid wishful thinking.
SYNASTRY_GUIDE_PART_2,N/A,Method,Double whammies conjunction emphasis pattern recognition,SYNASTRY STEP 3 DOUBLE WHAMMIES: When Person A planet aspects Person B planet AND Person B same planet aspects Person A same planet this creates double whammy. Example A Venus trine B Moon AND B Venus trine A Moon. These are major relationship themes that repeat and define dynamic. SYNASTRY STEP 4 CONJUNCTION RELATIONSHIPS: Abundance of conjunctions creates profound intense sameness. Partners feel like one person working same team. Strong willpower and initiative. Mirror effect. SYNASTRY STEP 5 OPPOSITION RELATIONSHIPS: Opposition emphasis creates two sides same coin. Intense as conjunctions. Focus on give-and-take compromise learning other viewpoint. Complementary differences.
SYNASTRY_GUIDE_PART_3,N/A,Method,Square relationships growth tension compatibility nuance,SYNASTRY STEP 6 SQUARE RELATIONSHIPS: Square emphasis creates struggle conflict misunderstanding but also growth. Reveals who fights for you who sees you as worth effort. Passionate dramatic rivalry. Requires mastery of conflict management. Not easy but deeply valuable for growth. SYNASTRY STEP 7 COMPATIBILITY REALITY: Chart compatibility does not guarantee real-world success. Past experiences social background education personality all factor in. Synastry shows terrain and potential not destiny. Partners determine outcome not stars. SYNASTRY STEP 8 ASTEROID SYNASTRY: Apply same orb rules as planets. Focus on conjunctions to personal planets angles. Check Eros-Psyche Juno-Juno Union-personal planets DNA-angles. Asteroids add specific nuanced layer to relationship themes.
MIDPOINT_INTERPRETATION_GUIDE,N/A,Method,Midpoint pictures calculation interpretation activation,MIDPOINT STEP 1 CALCULATE: Find exact middle between two planets along zodiac. Always use shorter arc if planets 180+ degrees apart. Use software or manual calculation. MIDPOINT STEP 2 ORB REQUIREMENTS: Use 2-2.5 degrees maximum for natal work. Only hard aspects count conjunction square opposition. Semisquare sesquiquadrate also valid. Avoid wide orbs. MIDPOINT STEP 3 NOTATION: Write as X=Y/Z where X is activating planet = means hard aspect / means midpoint. Example Venus=Sun/Moon means Venus conjunct square or oppose Sun-Moon midpoint. MIDPOINT STEP 4 ACTIVATION: Midpoint becomes significant when planet or angle contacts it. Shows synthesis of two energies through third factor. Most powerful when transits or progressions activate.
MIDPOINT_PICTURES_GUIDE,N/A,Method,Reading midpoint pictures synthesis developmental significance,MIDPOINT STEP 5 SYNTHESIS MEANING: Midpoint blends essence of two planets. Sun/Moon equals relationship identity-emotion balance. Venus/Mars equals passion desire. Saturn/Neptune equals spiritual sacrifice. Third planet modifying this reveals how blend manifests. MIDPOINT STEP 6 LIFE DOMINANCE: Sun/Moon midpoint pictures especially dominant in life development because fundamental identity-emotion axis so far-reaching. Outer planet pictures reveal transformation crisis evolution. MIDPOINT STEP 7 SELECT PRIORITIES: Use 90-degree dial to see all midpoints. Choose 10-12 strongest pictures. Prioritize those involving outer planets with inner planets or angles. Look for pictures that extend beyond initial chart analysis not repeat same themes.
MIDPOINT_SPECIAL_SIGNATURES,N/A,Method,Wealth depression fame health relationship signatures,SPECIAL MIDPOINT SIGNATURES: WEALTH Jupiter/Pluto midpoint major wealth indicator. DEPRESSION Neptune=Mercury/Saturn unipolar Saturn=Neptune/Pluto bipolar Pluto=Saturn/Ascendant burden Ascendant=Saturn/Pluto control. FAME Uranus=Mercury/MC sensation Pluto=Mercury/MC power Ascendant=Sun/Moon limelight Aries Point contacts. MARRIAGE Venus=Sun/Moon love dominates Node=Sun/Moon public destiny Saturn=Sun/Moon serious duty. WRITING Mercury/Jupiter midpoint. These are research-proven patterns appearing in relevant charts.
ORBS_AND_ASPECTS_GUIDE,N/A,Method,Understanding orbs aspect strength weighting importance,ORB PHILOSOPHY: Aspects are PHASAL not absolute. They fade in peak at exactness fade out. Orbs are guidelines not laws. Planet sensitivity matters heavily aspected planets feel wider orbs. Chart weighting trumps strict orbs. Angular planets chart rulers nodal rulers feel aspects longer and stronger. NATAL ORBS: Conjunction opposition 8-10 degrees. Square trine 6-9 degrees. Sextile 4-6 degrees. Sun Moon get 1-2 degrees extra. Quincunx 2 degrees. Minor aspects 1 degree. SYNASTRY ORBS: Half of natal orbs generally. Conjunction 3-5 degrees. Major aspects 3-5 degrees. Minor aspects 1-2 degrees. Focus tight orbs for accuracy.
HOUSE_AND_SIGN_SYNTHESIS,N/A,Method,Combining sign house ruler aspects full interpretation,SYNTHESIS METHOD: Asteroid or planet meaning comes from layers. LAYER 1 Archetype core meaning of body itself. LAYER 2 Sign how it expresses and behaves. LAYER 3 House what life area it affects. LAYER 4 Ruler who governs it and their condition. LAYER 5 Aspects what influences modify challenge enhance it. EXAMPLE Psyche in Cancer 4th house ruled by Moon conjunct Neptune Moon trine Venus. Interpretation Soul connection expressed emotionally and nurturingly in home and family governed by dreamy idealistic Moon enhanced by harmonious Venus equals deeply empathic soulful home life with idealized family bonds and compassionate soul growth through nurturing.
TIMING_AND_PREDICTIVE_WORK,N/A,Method,Transits progressions solar arcs activation timing,PREDICTIVE STEP 1 TRANSITS: Outer planets Saturn Uranus Neptune Pluto transiting natal asteroids midpoints or sensitive points activate dormant themes. Use 1-degree applying orb. Note exact dates. Transit brings external manifestation of natal potential. PREDICTIVE STEP 2 PROGRESSIONS: Secondary progressions show internal development. Progressed planet aspecting natal asteroid indicates maturing of that theme. Progressed asteroid changing signs or houses shifts life focus in that area. Use 1-degree orb. PREDICTIVE STEP 3 SOLAR ARCS: Solar arc directions move everything 1-degree per year. SA planet contacting natal asteroid or midpoint triggers major life events. Especially significant for outer planets. Use 1-degree orb exact year of event.
ADVANCED_TECHNIQUES_GUIDE,N/A,Method,Derivative houses persona charts Aries Point advanced methods,DERIVATIVE HOUSES: Read houses from other houses. 7th from 7th (1st) shows partner's identity. 10th from 7th (4th) shows partner's career. 8th from 5th (12th) shows transformation through creativity. Adds depth to chart reading. PERSONA CHARTS: Cast chart using planet's degree as Ascendant. Sun persona chart shows ego expression. Venus persona chart shows love nature. Groom/Briede persona charts show spouse qualities. Advanced technique for deep character analysis. ARIES POINT: 0 degrees Cardinal signs (0 Aries Cancer Libra Capricorn) equals fame recognition world stage. Planets asteroids midpoints at these degrees gain public prominence worldwide attention global recognition.
RESEARCH_AND_VALIDATION,N/A,Method,Testing asteroids observation record keeping verification,VALIDATION STEP 1 OBSERVE: Note asteroid placements and predictions. Record exact positions aspects orbs dates. VALIDATION STEP 2 TRACK EVENTS: When significant life events occur check transits progressions to asteroids and midpoints. Note which activations corresponded with manifestations. VALIDATION STEP 3 COMPARE CHARTS: Study same asteroid placements in multiple charts. Notice patterns. Eros conjunct Venus shows differently in various signs houses but core passionate love theme remains. VALIDATION STEP 4 CLIENT FEEDBACK: Ask clients if interpretation resonates. Adjust orbs and emphasis based on real-world accuracy. Build personal database of verified correlations.
ETHICAL_GUIDELINES,N/A,Method,Responsible asteroid interpretation client care boundaries,ETHICS: Never use asteroids for fear-mongering. Lilith Nessus Sado show shadow potential not destiny. Depression midpoints show vulnerability not certainty. Focus on growth transformation healing not labeling or limiting. Respect client free will. Synastry shows dynamics not fate. Never tell client relationship doomed or guaranteed. Empower don't predict. Asteroids are tools for self-understanding not deterministic fate. Always integrate with counseling skills trauma awareness cultural sensitivity. Know when to refer to mental health professionals.
