Name,Aspect Direction,Bounds Ruler,Chart Pattern,Chart Type,Classification,Decan,Declination,Dignity,Distance AU,Duad,Harmonic Aspects,Hemisphere,House,House Ruler in House,Interpretation,Keywords,Latitude,Longitude Degrees,MPC Number,Magi Linkages,Midpoints,Mode,Object ID,Planet Parans,Planetary Direction,Planetary Pictures,Position,Quadrant,Ray,Retrograde,Ruler,Sect,Sign,Source,Speed,Star Conjunctions,Star Parans,Symbol,Triplicity Ruler,Type
Photographica,,,,,,,"16°12' 8""",,2.958793442,,,,,,,,,,443,,,,,,,,"25 ta 40'53""",,,No,,,,,0.482326,,,,,Asteroid
Hybris,,,,,,,"17° 0'53""",,3.175279936,,,,,,,,,,430,,,,,,,,"29 ar 58'58""",,,No,,,,,0.5304299,,,,,Asteroid
Arachne,,,,,,,"-12°29'24""",,1.838749974,,,,,,"Represents intricate patterns, skilled craftsmanship, and the consequences of hubris. Arachne was a weaver who challenged Athena and was transformed into a spider. This asteroid shows where you possess exceptional talent, create complex connections, and may struggle with pride or competition. It reveals your relationship to perfectionism in craft and the delicate web of consequences following challenge to authority.","Weaving, Craftsmanship, Patterns, Hubris, Competition, Skill, Pride, Consequences, Transformation, Intricate work, Fate, Threads, Perfectionism, Challenge authority, Creative rivalry",,,407,,,,,,,,"5 li 37' 1""",,,Yes,,,,,-0.2158322,,,,,Asteroid
Eros,,,,,,,"-7°31' 4""",,2.361606667,,,,,,"Eros represents passionate desire, erotic love, and the transformative power of attraction. This asteroid shows how you experience sexual desires, the thrill of pursuit, and creative passion. It indicates your approach to seduction, objectification, and the types of relationships that ignite your deepest yearnings. Eros reveals where you take risks in pursuit of love and how you connect with others on a profound emotional and physical level. The placement shows your capacity for intense desire and the way attraction transforms you.","Erotic desire, Passion, Sexual attraction, Creative eros, Objectification, Pursuit, Intimacy, Risk-taking in love, Seduction, Deep connection, Transformative desire, Romantic intensity, Vitality, Life force, Magnetic attraction, Primal urges",,,433,,,,,,,,"7 pi 12'30""",,,No,,,,,0.5661639,,,,,Asteroid
Persephone,,,,,,,"33°42'26""",,3.442185342,,,,,,,,,,399,,,,,,,,"16 ge 19'33""",,,No,,,,,0.3183397,,,,,Asteroid
Siva,,,,,,,"26° 4'17""",,1.600735572,,,,,,,,,,1170,,,,,,,,"17 le 26'46""",,,No,,,,,0.1154672,,,,,Asteroid
Atlantis,,,,,,,"-3°14'28""",,1.934841874,,,,,,,,,,1198,,,,,,,,"29 vi 7'41""",,,Yes,,,,,-0.2356126,,,,,Asteroid
Achilles,,,,,,,"13°44'28""",,5.80358764,,,,,,,,,,588,,,,,,,,"17 ar 26' 4""",,,No,,,,,0.2506899,,,,,Asteroid
Sphinx,,,,,,,"7°18'11""",,3.257921017,,,,,,,,,,896,,,,,,,,"5 ar 24'31""",,,No,,,,,0.4849946,,,,,Asteroid
Icarus,,,,,,,"-22°10'27""",,1.951235623,,,,,,,,,,1566,,,,,,,,"16 aq 8' 0""",,,No,,,,,0.2851861,,,,,Asteroid
Memoria,,,,,,,"18°15' 8""",,3.189722694,,,,,,,,,,1247,,,,,,,,"5 le 13'55""",,,No,,,,,0.0586771,,,,,Asteroid
Hidalgo,,,,,,,"-57°29'33""",,7.208257685,,,,,,,,,,944,,,,,,,,"7 aq 6'39""",,,No,,,,,0.1058767,,,,,Asteroid
Amor,,,,,,,"10° 3'12""",,2.960980127,,,,,,,,,,1221,,,,,,,,"21 ta 45'35""",,,No,,,,,0.4489528,,,,,Asteroid
Lilith,,,,,,,"18° 2'50""",,3.013277216,,,,,,"Represents the dark feminine, repressed sexuality, and rebellion against patriarchal constraints. Lilith embodies raw, primal feminine power that refuses to be tamed or controlled. In the chart, she reveals where you resist submission, reclaim autonomy, and express your wild, authentic nature. She represents the shadow side of femininity—the parts deemed unacceptable or dangerous by society.","Dark feminine, Sexual power, Rebellion, Repressed desires, Autonomy, Shadow self, Primal instincts, Taboo, Independence, Rage, Empowerment, Exile, Seduction, Untamed nature",,,1181,,,,,,,,"15 ta 29'54""",,,No,,,,,0.5321051,,,,,Asteroid
Aphrodite,,,,,,,"32°34'31""",,3.033003851,,,,,,"Embodies beauty, love, and aesthetic appreciation. As the Greek goddess of love and beauty, this asteroid reveals how you experience and express romantic attraction, sensuality, and artistic appreciation. It shows your relationship to physical beauty, pleasure, and the arts. Aphrodite in your chart indicates where you naturally charm others and seek harmony through beauty.","Beauty, Love, Romance, Sensuality, Attraction, Aesthetics, Pleasure, Charm, Desire, Artistry, Grace, Seduction, Harmony, Physical appearance, Feminine allure",,,1388,,,,,,,,"26 cn 35'34""",,,No,,,,,0.124756,,,,,Asteroid
Bacchus,,,,,,,"-24°24'45""",,1.499721818,,,,,,"Represents ecstasy, intoxication, and liberation from constraints. As the Roman god of wine (Greek Dionysus), Bacchus embodies the dissolution of boundaries through altered states, celebration, and connection to primal joy. This asteroid shows where you seek transcendence through pleasure, may struggle with excess or addiction, and experience divine madness. It reveals your relationship to intoxication, ritual ecstasy, and the wild, untamed aspects of consciousness.","Wine, Intoxication, Ecstasy, Liberation, Celebration, Excess, Ritual, Divine madness, Pleasure, Altered states, Hedonism, Freedom, Wildness, Addiction, Transcendence",,,2063,,,,,,,,"13 aq 13'32""",,,No,,,,,0.6227429,,,,,Asteroid
Hopi,,,,,,,"4°43'14""",,3.038573009,,,,,,,,,,2938,,,,,,,,"5 cp 49'15""",,,No,,,,,0.058369,,,,,Asteroid
Toro,,,,,,,"6°36'37""",,1.799192197,,,,,,,,,,1685,,,,,,,,"6 ar 32'37""",,,No,,,,,1.2232022,,,,,Asteroid
Sisyphus,,,,,,,"39°33' 2""",,2.100907944,,,,,,,,,,1866,,,,,,,,"10 li 36'55""",,,Yes,,,,,-0.4373079,,,,,Asteroid
Panacea,,,,,,,"-34° 2'45""",,2.561599824,,,,,,,,,,2878,,,,,,,,"4 cp 56' 0""",,,No,,,,,0.1213214,,,,,Asteroid
Apollo,,,,,,,"29°35'11""",,2.160779609,,,,,,"Represents the rational mind, creative arts, and prophetic vision. As god of light, music, and prophecy, Apollo shows where you seek perfection, enlightenment, and truth. This asteroid reveals your relationship to logic, artistic expression (especially music and poetry), healing abilities, and pursuit of excellence. It can also indicate where you may struggle with perfectionism or need to balance intellect with emotion.","Rationality, Music, Prophecy, Healing, Enlightenment, Perfectionism, Logic, Truth, Creativity, Excellence, Light, Inspiration, Divination, Intellectual pursuits, Artistic mastery",,,1862,,,,,,,,"8 cn 44' 3""",,,No,,,,,0.3049082,,,,,Asteroid
Tantalus,,,,,,,"-17°57'43""",,2.111597882,,,,,,,,,,2102,,,,,,,,"4 ta 54'14""",,,No,,,,,0.8825909,,,,,Asteroid
Osiris,,,,,,,"-25°23'38""",,1.651103541,,,,,,,,,,1923,,,,,,,,"27 sc 45'59""",,,Yes,,,,,-0.1158534,,,,,Asteroid
Hephaistos,,,,,,,"25° 8'42""",,4.467305808,,,,,,,,,,2212,,,,,,,,"26 ta 8'12""",,,No,,,,,0.2186589,,,,,Asteroid
Requiem,,,,,,,"9°46' 3""",,3.005651384,,,,,,,,,,2254,,,,,,,,"19 ar 43'57""",,,No,,,,,0.5745227,,,,,Asteroid
Phaethon,,,,,,,"24° 7'25""",,3.294617379,,,,,,,,,,3200,,,,,,,,"8 ta 57'31""",,,No,,,,,0.3515343,,,,,Asteroid
Asclepius,,,,,,,"0°54'38""",,1.815129795,,,,,,,,,,4581,,,,,,,,"29 pi 58'59""",,,No,,,,,1.0889511,,,,,Asteroid
House,,,,,,,"1°43' 1""",,3.567785493,,,,,,,,,,4950,,,,,,,,"25 pi 0'42""",,,No,,,,,0.4174927,,,,,Asteroid
Orpheus,,,,,,,"-10°34'21""",,0.071530806,,,,,,"Embodies music, poetry, and profound loss. Orpheus, the legendary musician who journeyed to the underworld to retrieve his beloved Eurydice, represents the power of art to transcend death and the grief that fuels creative expression. This asteroid shows where you channel pain into beauty, express devotion through creativity, and may struggle with letting go or looking back at the past.","Music, Poetry, Grief, Loss, Devotion, Artistic expression, Underworld journey, Love beyond death, Creative talent, Melancholy, Looking back, Transcendence, Lyre, Muse, Transformation through art",,,3361,,,,,,,,"1 aq 8'18""",,,Yes,,,,,-2.9993049,,,,,Asteroid
Pholus,,,,,,,"-22°20'27""",,23.160347321,,,,,,,,,,5145,,,,,,,,"9 pi 12'43""",,,No,,,,,0.040724,,,,,Centaur
Dionysus,,,,,,,"33°15'51""",,1.405821166,,,,,,"Embodies divine ecstasy, theatrical expression, and the breakdown of social boundaries. As the Greek god of wine, theater, and religious ecstasy, Dionysus represents liberation through ritual intoxication, the sacred madness of the theater, and the dissolution of rigid identity. This asteroid shows where you access altered consciousness, express dramatic flair, and break free from societal constraints through celebration and creative abandon.","Theater, Wine, Ecstasy, Liberation, Divine madness, Ritual, Performance, Wildness, Breakdown of ego, Celebration, Maenads, Intoxication, Creative frenzy, Sacred pleasure, Transformation",,,3671,,,,,,,,"22 le 22'58""",,,Yes,,,,,-0.1173776,,,,,Asteroid
Heracles,,,,,,,"14° 3'21""",,3.457435097,,,,,,,,,,5143,,,,,,,,"21 ar 16'58""",,,No,,,,,0.3855083,,,,,Asteroid
Child,,,,,,,"1°59'12""",,3.89896684,,,,,,,,,,4580,,,,,,,,"14 ar 39'17""",,,No,,,,,0.389384,,,,,Asteroid
Askalaphus,,,,,,,"20°40' 9""",,6.253271379,,,,,,,,,,4946,,,,,,,,"26 ta 25'19""",,,No,,,,,0.1865733,,,,,Asteroid
Karma,,,,,,,"5°58' 5""",,3.283886988,,,,,,,,,,3811,,,,,,,,"8 ar 12'13""",,,No,,,,,0.4986869,,,,,Asteroid
Chariklo,,,,,,,"21°46'47""",,19.340558185,,,,,,"Chariklo represents the capacity to hold sacred space for transformation and healing. As the wife of Chiron, this centaur embodies nurturing presence, unconditional positive regard, and the creation of safe sanctuary. Chariklo shows where we provide support for others' growth while maintaining healthy boundaries, offering a stable container for deep work. This placement indicates the ability to see truth from multiple perspectives, remaining neutral and optimistic even in challenging circumstances. Chariklo teaches the art of being present without interference, holding space for others to heal themselves. She represents private, protected environments where authentic transformation can occur.","Holding space, Sanctuary, Safe boundaries, Nurturing outsiders, Unconditional positive regard, Neutral truth, Optimistic, Balanced, Stable, Understanding, Perceptual capacity, Private places, Secret spaces, Art-sciences, Protection, Divine nymph, Supportive presence, Emotional intelligence, Self-expression",,,10199,,,,,,,,"7 ar 29'33""",,,No,Saturn,,,,0.0646306,,,,,Centaur
Sauer,,,,,,,"-15° 1'45""",,3.038389304,,,,,,,,,,9248,,,,,,,,"14 aq 13' 7""",,,No,,,,,0.3246675,,,,,Asteroid
Hylonome,,,,,,,"19°20'36""",,23.617418944,,,,,,,,,,10370,,,,,,,,"3 cn 11'28""",,,No,,,,,0.0203195,,,,,Centaur
Nessus,,,,,,,"35°57'32""",,23.259720476,,,,,,,,,,7066,,,,,,,,"23 ge 42' 5""",,,No,,,,,0.0266167,,,,,Centaur
Damocles,,,,,,,"-0°38' 8""",,22.043377977,,,,,,,,,,5335,,,,,,,,"23 aq 44' 9""",,,No,,,,,0.0278226,,,,,Damocloid
Arawn,,,,,,,"-7° 4' 0""",,34.627717182,,,,,,,,,,15810,,,,,,,,"26 li 41'51""",,,Yes,,,,,-0.0231883,,,,,TNO
Burney,,,,,,,"7°45' 0""",,2.97716504,,,,,,,,,,6235,,,,,,,,"15 ar 8'12""",,,No,,,,,0.5779043,,,,,Asteroid
Chaos,,,,,,,"5°11'14""",,45.617725211,,,,,,"Chaos represents the primordial void, the formless state that precedes all creation. Named after the first Greek primordial deity who emerged at the dawn of time, this TNO embodies infinite potential, the gap between heaven and earth, and the creative emptiness from which all forms arise. Chaos shows where we encounter the undefined, unstructured realm of pure possibility - the place before order, before manifestation, before differentiation. This placement indicates the capacity to embrace uncertainty, dwell in the unknown, and access the creative void from which new realities emerge. Chaos teaches that destruction and formlessness are necessary precursors to creation, and that true innovation requires releasing attachment to existing structures.","Primordial void, Formless state, Infinite potential, Gap, Chasm, Beginning, Creative emptiness, Undefined, Unstructured, Pure possibility, Before order, Uncertainty, The unknown, Dissolution, Primal force, Genesis, Cosmic womb, Original source, Limitless",,,19521,,,,,,,,"25 ar 12'56""",,,No,Neptune,,,,0.0247858,,,,,TNO
Albion,,,,,,,"-10°45'49""",,41.901952183,,,,,,"Albion represents primordial wholeness, the original unified state before division. Named after the ancient Greek name for Great Britain and William Blake's primordial man who divided into the four Zoas, this was the first classical Kuiper belt object ever discovered, marking the beginning of our exploration beyond Pluto. Albion shows where we seek to integrate divided aspects of ourselves, reclaim lost wholeness, and honor the archetypal foundation upon which our psyche rests. As the prototype cubewano, Albion embodies the principle of 'firstness' - the pioneer, the original, the foundation. This placement indicates where we must acknowledge fragmentation and work toward reintegration of our essential nature.","Primordial wholeness, Unity, Division, Four Zoas, Integration, Prototype, First discovery, Foundation, Ancient wisdom, Archetypal man, White cliffs, Unified self, Fragmentation, Reintegration, Original state, Pioneer, Classical Kuiper belt, Cubewano, Beginning",,,15760,,,,,,,,"4 pi 24' 8""",,,No,Saturn,,,,0.020452,,,,,TNO
Asbolus,,,,,,,"31°49'37""",,27.464670249,,,,,,"Asbolus represents prophetic vision, burning clarity, and the ability to read omens in the zeitgeist. Named after the centaur seer who accurately predicted catastrophe but was not heeded, this body embodies dark visionary insight, the capacity to see what others cannot or will not see. Asbolus shows where we possess intuitive foresight about collective trends and coming events, often related to difficult or horrifying truths that others prefer to ignore. This placement indicates being blackened or stained by knowledge, carrying the burden of seeing clearly into shadow. Asbolus teaches that prophecy without action is tragedy - we must find ways to warn and prepare, even when our visions are unwelcome.","Prophecy, Seer, Augury, Burning clarity, Dark vision, Omens, Zeitgeist, Finger on pulse, Soot, Stained, Covered, Misunderstood, Gothic, Deep, Horror, Negative creativity, Inhuman aspects, Unheeded warnings, Bird flight divination, Catastrophe foresight",,,8405,,,,,,,,"9 le 41'49""",,,Yes,Pluto,,,,-0.0084724,,,,,Centaur
Thereus,,,,,,,"8°58'39""",,12.325068727,,,,,,,,,,32532,,,,,,,,"20 ta 27'42""",,,No,,,,,0.0909861,,,,,Centaur
Itokawa,,,,,,,"0°58'41""",,2.375694773,,,,,,,,,,25143,,,,,,,,"4 ar 48'15""",,,No,,,,,0.6967988,,,,,Asteroid
Okyrhoe,,,,,,,"-1°54'49""",,11.591651486,,,,,,,,,,52872,,,,,,,,"24 pi 19'17""",,,No,,,,,0.0980338,,,,,Centaur
Elatus,,,,,,,"2°35'52""",,16.646997539,,,,,,,,,,31824,,,,,,,,"6 li 56'30""",,,Yes,,,,,-0.0469851,,,,,Centaur
Pelion,,,,,,,"4°23' 8""",,18.701092643,,,,,,,,,,49036,,,,,,,,"9 li 19'27""",,,Yes,,,,,-0.0403889,,,,,Centaur
Narcissus,,,,,,,"-21°55'20""",,10.091313751,,,,,,"Embodies self-absorption, vanity, and the dangers of excessive self-focus. Narcissus, who fell in love with his own reflection, represents where you may become entranced by your own image or ideas. This asteroid reveals areas of potential narcissism, the need for self-reflection versus self-obsession, and where admiration can become toxic. It can also indicate natural charisma and the ability to captivate others.","Vanity, Self-love, Reflection, Self-absorption, Beauty, Ego, Mirror, Self-obsession, Charisma, Pride, Admiration, Image, Self-focus, Superficiality, Echo",,,37117,,,,,,,,"16 sa 39'51""",,,Yes,,,,,-0.0333606,,,,,Asteroid
Huya,,,,,,,"7°18' 4""",,35.961875826,,,,,,,,,,38628,,,,,,,,"25 le 31'27""",,,Yes,,,,,-0.0118011,,,,,TNO
Rhadamanthus,,,,,,,"24°26'29""",,34.148294752,,,,,,,,,,38083,,,,,,,,"19 le 3'25""",,,Yes,,,,,-0.0092554,,,,,TNO
Lempo,,,,,,,"-22°16' 4""",,36.974386823,,,,,,,,,,47171,,,,,,,,"8 aq 7'57""",,,No,,,,,0.0130897,,,,,TNO
Typhon,,,,,,,"15°14'23""",,35.230954729,,,,,,,,,,42355,,,,,,,,"6 ta 24'19""",,,No,,,,,0.0309709,,,,,TNO
Echeclus,,,,,,,"-12°27'20""",,9.510202315,,,,,,,,,,60558,,,,,,,,"13 sc 19'47""",,,Yes,,,,,-0.0652642,,,,,Centaur
Deucalion,,,,,,,"2°59'31""",,44.370121636,,,,,,,,,,53311,,,,,,,,"23 vi 11'36""",,,Yes,,,,,-0.0166078,,,,,TNO
Logos,,,,,,,"19°39' 4""",,39.726277348,,,,,,,,,,58534,,,,,,,,"29 cn 47' 7""",,,Yes,,,,,-0.0002983,,,,,TNO
Amycus,,,,,,,"33°17'55""",,28.173108202,,,,,,"Amycus represents the proper treatment of others and the consequences of violence and improper conduct. As the first centaur to fight after the wedding chaos began, Amycus embodies reactive aggression, being caught up in collective violence, and the suffering of innocent victims in conflicts not of their making. This placement shows where we may become swept into battles, where we fight for perceived wrongs, or where we witness the damage caused when basic respect breaks down. Amycus teaches about appropriate social behavior, the domino effect of violence, and the tragedy of collateral damage. He reminds us that when powerful forces clash, the vulnerable suffer most.","Proper treatment, Social conduct, Violence consequences, Reactive aggression, Caught in conflict, Innocent victims, Collateral damage, When elephants fight, Centauromachy, Wedding chaos, First to fight, Improper behavior, Respect breakdown, Battle swept, Domino effect, Suffering, Social norms, Conflict escalation",,,55576,,,,,,,,"7 ge 11'35""",,,No,Mars,,,,0.0299165,,,,,Centaur
Sila-Nunam,,,,,,,"24°41'51""",,44.273756671,,,,,,,,,,79360,,,,,,,,"24 ge 5'39""",,,No,,,,,0.0128766,,,,,TNO
Ceto,,,,,,,"-0°13'58""",,27.28864888,,,,,,,,,,65489,,,,,,,,"24 ta 6'14""",,,No,,,,,0.0395048,,,,,TNO
Bienor,,,,,,,"-35°15'53""",,15.224992635,,,,,,,,,,54598,,,,,,,,"14 sc 31'11""",,,Yes,,,,,-0.0454639,,,,,Centaur
Hermes,,,,,,,"17° 3' 8""",,0.145549264,,,,,,"Embodies communication, commerce, and swift movement between realms. As the messenger god, Hermes represents eloquence, trickery, trade, and the ability to cross boundaries. This asteroid shows where you communicate with skill, navigate transitions, and act as an intermediary. It reveals your relationship to language, negotiation, travel, and the liminal spaces between worlds. Hermes can also indicate where you employ cleverness or deception.","Communication, Messenger, Trickster, Commerce, Travel, Eloquence, Liminal spaces, Negotiation, Speed, Transitions, Cleverness, Mediation, Language, Trade, Psychopomp",,,69230,,,,,,,,"22 ar 16'31""",,,Yes,,,,,-0.9990423,,,,,Asteroid
Borasisi,,,,,,,"-22°11'26""",,39.911359678,,,,,,,,,,66652,,,,,,,,"19 cp 54'19""",,,No,,,,,0.0043748,,,,,TNO
Cyllarus,,,,,,,"-31°28' 3""",,20.947136053,,,,,,,,,,52975,,,,,,,,"2 cp 39'13""",,,Yes,,,,,-0.0030486,,,,,Centaur
Mbabamwanawaresa,,,,,,,"9°53'48""",,45.654592513,,,,,,,,,,184314,,,,,,,,"9 vi 23'59""",,,Yes,,,,,-0.0134146,,,,,TNO
Teharonhiawako,,,,,,,"-22°11'47""",,44.418550801,,,,,,,,,,88611,,,,,,,,"22 cp 13'53""",,,No,,,,,0.0044927,,,,,TNO
Altjira,,,,,,,"8°53'24""",,44.536483299,,,,,,,,,,148780,,,,,,,,"19 ar 4'33""",,,No,,,,,0.0255078,,,,,TNO
Aphidas,,,,,,,"-15° 0'30""",,10.28550199,,,,,,,,,,121725,,,,,,,,"1 pi 36'29""",,,No,,,,,0.1013905,,,,,Centaur
G!kun||'homdima,,,,,,,"-12°31'34""",,60.343134377,,,,,,,,,,229762,,,,,,,,"18 ar 40'14""",,,No,,,,,0.0197429,,,,,TNO
Gonggong,,,,,"Scattered Disc Object (SDO), 3:10 resonance with Neptune",,"-24°59'55""",,76.087461014,,,,,,"Gonggong represents the energy of thriving through chaos and uncertainty. Named after the Chinese water god known for creating flooding and tilting the Earth, this trans-Neptunian object brings themes of intrusive memories, unfinished karmic business, and empathic consciousness. It indicates where we must learn to navigate disruption and transformation, often through confronting uncomfortable truths from the past. Gonggong's influence suggests the capacity to work with chaotic forces rather than against them, finding opportunity within crisis. This placement shows where we may need to address deep-seated emotional wounds related to power struggles, environmental disruption, or collective trauma.","Chaos, Intrusive memories, Karmic business, Empathic consciousness, Water element, Flooding, Disruption, Transformation through crisis, Uncertainty, Collective trauma, Environmental concerns, Power struggles, Tilting foundations, Uncomfortable truths, Thriving through chaos, Serpentine energy, Red-haired god archetype",30°55' N,"19°2'43""",225088,,,Fixed,,,,,"19 aq 2'43""",,,No,Saturn,,Aquarius,,0.007673,,,🝽,,SDO
Apophis,,,,,,,"-16° 1'51""",,0.302855117,,,,,,,,,,99942,,,,,,,,"7 aq 42'43""",,,No,,,,,1.6491177,,,,,Asteroid
Varda,,,,,,,"-2° 9'15""",,50.220739068,,,,,,,,,,174567,,,,,,,,"4 sc 47'22""",,,Yes,,,,,-0.0167299,,,,,TNO
Salacia,,,,,,,"-8°58' 9""",,40.786790522,,,,,,,,,,120347,,,,,,,,"5 aq 21'13""",,,No,,,,,0.0104454,,,,,TNO
Crantor,,,,,,,"12°15'28""",,23.543292167,,,,,,,,,,83982,,,,,,,,"6 ge 55'13""",,,No,,,,,0.0363721,,,,,Centaur
Zhulong,,,,,,,"15°53' 5""",,47.410656957,,,,,,,,,,472235,,,,,,,,"16 le 33'58""",,,Yes,,,,,-0.0065339,,,,,SDO
Mors-Somnus,,,,,,,"-7°42'27""",,37.387731858,,,,,,,,,,341520,,,,,,,,"10 aq 7'26""",,,No,,,,,0.013926,,,,,TNO
Manwe,,,,,,,"-21° 3'47""",,47.762797135,,,,,,,,,,385446,,,,,,,,"5 aq 21'24""",,,No,,,,,0.0086155,,,,,TNO
Dziewanna,,,,,,,"3°37'34""",,55.098827205,,,,,,,,,,471143,,,,,,,,"17 vi 39'14""",,,Yes,,,,,-0.0132102,,,,,SDO
Alicanto,,,,,,,"-27°56'35""",,56.44838781,,,,,,,,,,474640,,,,,,,,"16 pi 38'28""",,,No,,,,,0.019461,,,,,TNO
Arrokoth,,,,,,,"-15°45'42""",,43.938575148,,,,,,,,,,486958,,,,,,,,"21 sc 10'35""",,,Yes,,,,,-0.0156468,,,,,TNO
Rhiphonos,,,,,,,"12°49'34""",,7.003302738,,,,,,,,,,346889,,,,,,,,"23 ar 41'17""",,,No,,,,,0.2058882,,,,,Centaur
Kagara,,,,,,,"21°55'29""",,43.451339938,,,,,,,,,,469705,,,,,,,,"16 cn 37'26""",,,No,,,,,0.0045516,,,,,TNO
Praamzius,,,,,,,"23°49'34""",,43.341155113,,,,,,,,,,420356,,,,,,,,"18 ge 39'30""",,,No,,,,,0.0150922,,,,,TNO
Orius,,,,,,,"11°51'56""",,28.832889486,,,,,,,,,,330836,,,,,,,,"9 ta 42'26""",,,No,,,,,0.0369906,,,,,Centaur
Leleakuhonua,,,,,,,,,,,,,,,,,,,541132,,,,,,,,"14 pi 57'20""",,,No,,,,,0,,,,,TNO
Vertex,,,,,,,,,,,,,7,,,,"11°12'26"" N","29°14'43""",,,,Cardinal,,,,,"29 ar 14'43""",,,No,Mars,,Aries,,,,,,,Calculated
Part of Fortune,,,,,,,"20°13'38"" N",,,,,,8,,"The area of greatest ease, success, and well-being (Part of Fortune) is found through emotional security and nurturing (Cancer) related to shared resources, deep intimacy, and transformation (House 8). Wealth or success may come through partnerships, inheritance, or by working with emotional depth, psychology, or the occult. Emotional nurturing becomes a key to financial and spiritual transformation and accessing others' resources.","Financial gain, Ease, Emotional security, Inheritance, Transformation, Shared resources, Nurturing, Deep intimacy, Psychic gifts, Taxes, Rebirth, Hidden talent, Partnership wealth, Healing, Emotional depth, Secrets, Occult",,"0°21'8""",,,,Cardinal,,,,,"0 cn 21'8""",,,No,Moon,,Cancer,,,,,,,Calculated
Ascendant,,,,,,,,,,,,,1,,"The outward personality and approach to life is marked by courage, impulse, and direct action. The native is seen as a self-starter, dynamic, and energetic, often charging headfirst into new experiences. There is a visible desire for independence and a competitive edge, with an ability to cut through complexity. They project an image of a warrior or pioneer.","Courage, Initiation, Dynamic, Impulsive, Direct, Self-starter, Warrior, Energy, Headstrong, Independent, Pioneer, Assertive, Active, Pioneering, Outward behavior, Physical vitality",,"10°48'41""",,,,Cardinal,,,,,"10 ar 48'41""",,,No,Mars,,Aries,,,,,,,Calculated
Midheaven,,,,,,,,,,,,,10,,"The career, public reputation, and ultimate life goals are handled with seriousness, ambition, and a pragmatic approach. The native is seen as highly professional, disciplined, and focused on achieving tangible, material success. They seek recognition for their hard work and ability to build long-lasting structures. They climb the ladder slowly but surely, prioritizing respect and competence.","Ambition, Career, Public status, Authority, Structure, Discipline, Responsibility, Patience, Goals, Pragmatism, Tradition, Material success, Reputation, Management, Long-term planning, Social standing",,"12°27'31""",,,,Cardinal,,,,,"12 cp 27'31""",,,No,Saturn,,Capricorn,,,,,,,Calculated
True Node,,,,,,,"23°8'39"" S",,,,,,7,,"The dharma or path of growth (North Node) is to move away from excessive self-reliance (South Node in Libra) and learn to courageously assert oneself (Aries) within the context of one-on-one relationships (House 7). The native's evolution is found by initiating partnerships and taking independent action with or through others, learning to balance their own needs with the needs of the relationship. Life lessons involve fated partnerships.","Destiny, Growth, Relationship karma, Self-assertion, Partnership, Initiation, Courage, Independence, Balancing, Collaboration, New paths, Evolutionary goal, Directness, Self-discovery, Fated encounters, Marital path, Self-reliance","1°32'42"" N","24°32'04""",,,,Cardinal,,,,,"24 ar 32'4""",,,No,Mars,,Aries,,-0.0248,,,,,Calculated
Pluto,,Venus,,,,,"13°43'31"" N",Peregrine,,,,Northern (Above Horizon) / Eastern,12,,"The intensity, compulsion, and psychological transformation (Pluto) are focused on unseen weaknesses, selfless service, and subconscious patterns (House 12). The native possesses a deep, investigative need to cleanse or perfect (Virgo) subconscious fears, trauma, and hidden matters. The retrograde motion suggests this is an ongoing, internalized, and karmic process. There is a potential for working behind the scenes in health or service, or a relentless obsession with self-improvement and detail.","Obsession, Psychological healing, Hidden enemies, Transformation, Subconscious, Purging, Karma, Detailed work, Health crises, Compulsive service, Inner scrutiny, Purification, Investigative, Power struggles, Self-sabotage, Deep secrets","17°9'48"" N","5°03'06""",,,,Mutable,,,,,"5 vi 3'6""",,,Yes,Mercury,Day,Virgo,,-0.0058,,,J,Mercury (Day Ruler),Dwarf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,
55 Pandora,,,,,,,"29°3'10"" N",,,,,,9,,,,"6°12'47"" N","17°38'14""",55,,,,,,,,,,,No,,,Gemini,,0.3703,,,,,Asteroid
432 Pythia,,,,,,,"12°59'42"" N",,,,,,8,,,,"4°37'21"" S","18°53'56""",432,,,,,,,,,,,No,,,Taurus,,0.4022,,,,,Asteroid
433 Eros,,,,,,,"7°28'27"" S",,,,,,5,,,,"1°27'37"" N","7°18'9""",433,,,,,,,,,,,No,,,Pisces,,0.5664,,,,,Asteroid
Vertex,,,,,,,,,,,,,7,,,,"11°12'26"" N","29°14'43""",,,,,,,,,,,,No,,,Aries,,,,,,,Calculated
4227 Kaali,,,,,,,"4°58'45"" N",,,,,,7,,,,"1°44'15"" S","16°45'6""",4227,,,,,,,,,,,No,,,Aries,,0.4272,,,,,Asteroid
4450 Pan,,,,,,,"17°51'27"" N",,,,,,8,,,,"3°50'24"" N","8°9'7""",4450,,,,,,,,,,,No,,,Taurus,,0.4542,,,,,Asteroid
5011 Ptah,,,,,,,"28°19'24"" S",,,,,,4,,,,"7°42'32"" S","26°57'45""",5011,,,,,,,,,,,No,,,Capricorn,,0.2278,,,,,Asteroid
Lilith (Mean),,,,,,,"18°3'0"" S",,,,,,4,,,,"2°52'7"" N","26°26'33""",,,,,,,,,,,,No,,,Capricorn,,0.1111,,,,,Calculated
